"","timestamp","open","high","low","close","volume"
"1",2013-09-03 09:30:00,165.26,165.388,165.2,165.3869,1306848
"2",2013-09-03 09:31:00,165.38,165.5,165.37,165.4,946276
"3",2013-09-03 09:32:00,165.4,165.4801,165.35,165.46,712984
"4",2013-09-03 09:33:00,165.45,165.51,165.42,165.51,616707
"5",2013-09-03 09:34:00,165.51,165.55,165.37,165.44,641267
"6",2013-09-03 09:35:00,165.44,165.58,165.425,165.55,601603
"7",2013-09-03 09:36:00,165.56,165.57,165.45,165.48,536898
"8",2013-09-03 09:37:00,165.48,165.52,165.43,165.5061,436786
"9",2013-09-03 09:38:00,165.5,165.54,165.42,165.45,518322
"10",2013-09-03 09:39:00,165.45,165.48,165.42,165.43,407261
"11",2013-09-03 09:40:00,165.44,165.55,165.43,165.45,417167
"12",2013-09-03 09:41:00,165.442,165.45,165.37,165.3701,633541
"13",2013-09-03 09:42:00,165.3724,165.4,165.35,165.38,256436
"14",2013-09-03 09:43:00,165.3801,165.43,165.35,165.36,343896
"15",2013-09-03 09:44:00,165.36,165.38,165.33,165.34,261985
"16",2013-09-03 09:45:00,165.34,165.42,165.33,165.365,561029
"17",2013-09-03 09:46:00,165.36,165.39,165.32,165.32,343244
"18",2013-09-03 09:47:00,165.32,165.365,165.3,165.3,260182
"19",2013-09-03 09:48:00,165.325,165.37,165.3,165.33,304583
"20",2013-09-03 09:49:00,165.33,165.339,165.28,165.31,418553
"21",2013-09-03 09:50:00,165.305,165.38,165.305,165.35,290757
"22",2013-09-03 09:51:00,165.36,165.36,165.28,165.29,344932
"23",2013-09-03 09:52:00,165.28,165.36,165.27,165.35,236466
"24",2013-09-03 09:53:00,165.35,165.36,165.28,165.305,257925
"25",2013-09-03 09:54:00,165.3,165.31,165.21,165.22,342866
"26",2013-09-03 09:55:00,165.23,165.37,165.22,165.37,335631
"27",2013-09-03 09:56:00,165.36,165.37,165.34,165.365,204577
"28",2013-09-03 09:57:00,165.36,165.38,165.34,165.35,152374
"29",2013-09-03 09:58:00,165.34,165.35,165.17,165.19,341235
"30",2013-09-03 09:59:00,165.2,165.295,165.19,165.26,204367
"31",2013-09-03 10:00:00,165.26,165.37,165.14,165.16,765282
"32",2013-09-03 10:01:00,165.16,165.21,165.06,165.095,903769
"33",2013-09-03 10:02:00,165.1,165.18,165.03,165.16,643876
"34",2013-09-03 10:03:00,165.16,165.29,165.11,165.23,554019
"35",2013-09-03 10:04:00,165.23,165.28,165.21,165.23,481933
"36",2013-09-03 10:05:00,165.23,165.3,165.15,165.18,711594
"37",2013-09-03 10:06:00,165.18,165.34,165.18,165.27,492535
"38",2013-09-03 10:07:00,165.27,165.28,165.2,165.24,296205
"39",2013-09-03 10:08:00,165.25,165.25,165.17,165.21,168761
"40",2013-09-03 10:09:00,165.2,165.28,165.16,165.23,250512
"41",2013-09-03 10:10:00,165.23,165.4,165.2201,165.38,622663
"42",2013-09-03 10:11:00,165.365,165.38,165.29,165.34,265758
"43",2013-09-03 10:12:00,165.34,165.439,165.34,165.43,314020
"44",2013-09-03 10:13:00,165.43,165.45,165.36,165.37,406957
"45",2013-09-03 10:14:00,165.37,165.3799,165.32,165.33,258352
"46",2013-09-03 10:15:00,165.33,165.33,165.28,165.3,238535
"47",2013-09-03 10:16:00,165.3,165.3,165.16,165.17,367611
"48",2013-09-03 10:17:00,165.17,165.22,165.14,165.18,306052
"49",2013-09-03 10:18:00,165.18,165.18,165.1001,165.12,217374
"50",2013-09-03 10:19:00,165.11,165.15,165.08,165.12,255518
"51",2013-09-03 10:20:00,165.13,165.13,165.03,165.05,282133
"52",2013-09-03 10:21:00,165.04,165.09,165,165.08,466034
"53",2013-09-03 10:22:00,165.08,165.09,164.985,165.035,217908
"54",2013-09-03 10:23:00,165.05,165.05,164.97,164.99,729949
"55",2013-09-03 10:24:00,164.985,165.07,164.98,165.0401,411243
"56",2013-09-03 10:25:00,165.05,165.11,165.01,165.1,211937
"57",2013-09-03 10:26:00,165.09,165.16,165.08,165.15,267146
"58",2013-09-03 10:27:00,165.14,165.145,165.07,165.07,159644
"59",2013-09-03 10:28:00,165.08,165.1,165.03,165.094,203067
"60",2013-09-03 10:29:00,165.1,165.13,165.08,165.13,323776
"61",2013-09-03 10:30:00,165.12,165.17,165.05,165.08,164576
"62",2013-09-03 10:31:00,165.075,165.17,165.075,165.15,194492
"63",2013-09-03 10:32:00,165.15,165.22,165.13,165.22,324085
"64",2013-09-03 10:33:00,165.21,165.23,165.16,165.19,184926
"65",2013-09-03 10:34:00,165.19,165.2,165.145,165.19,213364
"66",2013-09-03 10:35:00,165.19,165.21,165.165,165.17,162338
