Date,Close,Volume
2025-04-07T19:31:00.000Z,502.57,"413,571.00"
2025-04-07T19:32:00.000Z,504.58,"636,551.00"
2025-04-07T19:33:00.000Z,505.4,"509,329.00"
2025-04-07T19:34:00.000Z,504.99,"375,974.00"
2025-04-07T19:35:00.000Z,505.25,"783,005.00"
2025-04-07T19:36:00.000Z,505.25,"306,603.00"
2025-04-07T19:37:00.000Z,506.11,"453,125.00"
2025-04-07T19:38:00.000Z,505.71,"342,494.00"
2025-04-07T19:39:00.000Z,504.58,"230,868.00"
2025-04-07T19:40:00.000Z,503.31,"477,133.00"
2025-04-07T19:41:00.000Z,502.63,"463,885.00"
2025-04-07T19:42:00.000Z,502.76,"411,211.00"
2025-04-07T19:43:00.000Z,501.87,"388,199.00"
2025-04-07T19:44:00.000Z,501.5,"415,119.00"
2025-04-07T19:45:00.000Z,501.84,"318,014.00"
2025-04-07T19:46:00.000Z,501.73,"482,089.00"
2025-04-07T19:47:00.000Z,501.38,"465,611.00"
2025-04-07T19:48:00.000Z,502.22,"1,014,077.00"
2025-04-07T19:49:00.000Z,502.63,"884,936.00"
2025-04-07T19:50:00.000Z,500.99,"811,887.00"
2025-04-07T19:51:00.000Z,502.22,"863,977.00"
2025-04-07T19:52:00.000Z,502.7,"785,487.00"
2025-04-07T19:53:00.000Z,501.86,"731,214.00"
2025-04-07T19:54:00.000Z,503.27,"694,478.00"
2025-04-07T19:55:00.000Z,504.18,"1,397,705.00"
2025-04-07T19:56:00.000Z,503.9,"831,128.00"
2025-04-07T19:57:00.000Z,503.84,"905,661.00"
2025-04-07T19:58:00.000Z,504.11,"1,552,056.00"
2025-04-07T19:59:00.000Z,504.54,"2,534,585.00"
2025-04-08T13:30:00.000Z,521.93,"8,520,456.00"
2025-04-08T13:31:00.000Z,520.46,"940,638.00"
2025-04-08T13:32:00.000Z,520.21,"667,077.00"
2025-04-08T13:33:00.000Z,520.44,"603,952.00"
2025-04-08T13:34:00.000Z,520.48,"491,282.00"
2025-04-08T13:35:00.000Z,519.22,"911,559.00"
2025-04-08T13:36:00.000Z,518.73,"793,687.00"
2025-04-08T13:37:00.000Z,518.19,"620,680.00"
2025-04-08T13:38:00.000Z,518.28,"394,999.00"
2025-04-08T13:39:00.000Z,519.02,"385,301.00"
2025-04-08T13:40:00.000Z,519.15,"638,818.00"
2025-04-08T13:41:00.000Z,518.65,"450,331.00"
2025-04-08T13:42:00.000Z,520.08,"599,045.00"
2025-04-08T13:43:00.000Z,520.19,"567,521.00"
2025-04-08T13:44:00.000Z,519.68,"359,897.00"
2025-04-08T13:45:00.000Z,520.34,"619,734.00"
2025-04-08T13:46:00.000Z,521.32,"421,733.00"
2025-04-08T13:47:00.000Z,521.01,"303,383.00"
2025-04-08T13:48:00.000Z,519.33,"621,862.00"
2025-04-08T13:49:00.000Z,519.41,"396,127.00"
2025-04-08T13:50:00.000Z,518.84,"459,025.00"
2025-04-08T13:51:00.000Z,520.1,"382,497.00"
2025-04-08T13:52:00.000Z,521.42,"379,191.00"
2025-04-08T13:53:00.000Z,521.65,"540,282.00"
2025-04-08T13:54:00.000Z,521.6,"304,298.00"
2025-04-08T13:55:00.000Z,521.73,"384,783.00"
2025-04-08T13:56:00.000Z,521.97,"340,937.00"
2025-04-08T13:57:00.000Z,522.1,"310,371.00"
2025-04-08T13:58:00.000Z,523.08,"536,152.00"
2025-04-08T13:59:00.000Z,522.59,"240,330.00"
2025-04-08T14:00:00.000Z,523,"443,408.00"
2025-04-08T14:01:00.000Z,522.59,"240,301.00"
2025-04-08T14:02:00.000Z,523.42,"288,690.00"
2025-04-08T14:03:00.000Z,523.72,"332,607.00"
2025-04-08T14:04:00.000Z,523.17,"322,484.00"
